"start","end","text","speaker"
"80130","90810"," (Transcribed by TurboScribe. Go Unlimited to remove this message.) давай я тогда продолжаю рассказ пометки если что даже у меня будет","Speaker 1"
"95070","108670"," но я не уверен но я стараюсь проговорить то что мы сейчас на странице каталог подрядчиков","Speaker 1"
"110070","117550"," смотрим фильтры фильтр по типу объекта какие типа объекты должны быть это квартира дом","Speaker 1"
"117550","134870"," офис отель ресторан слэш кафе все и другое можно вот такие сегмент медиум плюс премиум","Speaker 1"
"134870","146770"," хорошо так оставим галочку и все равно только ну далки оставим","Speaker 1"
"149730","151050"," смотрим","Speaker 1"
"157190","167230"," меняем на верифицированных актив меняем на активные полностью меняем все на русском","Speaker 1"
"167230","169210"," смотрим","Speaker 1"
"169210","180070"," продакшн корпусная мебель это москва открыть перегрузить заплатка парочку проектов","Speaker 1"
"181810","195390"," достаточно класс можно так кстати подвал это окей сервис правит ну политика ну аферта","Speaker 1"
"199570","202490"," правила пользования сервису","Speaker 1"
"209750","214590"," когда мы проваливаемся в одну депутатку","Speaker 1"
"216650","218090"," карточку","Speaker 1"
"218090","224370"," констрактор с лавой хлебной крошки констрактор русский подрядчики","Speaker 1"
"226550","229430"," название название","Speaker 1"
"243900","248360"," ну наверное сайта то есть если у нас будет сайт клиентам его как-то должны","Speaker 1"
"248360","256600"," спарсить из ну и как бы ну да и токи балка балка ставим фаунт это у нас есть","Speaker 1"
"256600","267880"," профайл прочек комплеты сайта если находим им сайс 45 это сквозь профайл категории","Speaker 1"
"270460","276500"," да это когда это теги которые помечаются автоматически искусственным интеллектом","Speaker 1"
"277100","285780"," работают в регионах окей оставляем реализованные проекты очень важный до момент","Speaker 1"
"287240","295500"," проект 1 проект 3 но по ним должно быть соответственно у нас есть это карточка проекта","Speaker 1"
"300920","312600"," проекта не было в этом и пока туда не будем но давай сюда добавим добавить карточка подрядчика","Speaker 1"
"313020","319880"," в раздел реализованные проекты когда ты слева направо ведешь мышку по изображению","Speaker 1"
"319880","329200"," то меняются изображения которые внутрь добавлены так сделать и можно кликнуть","Speaker 1"
"329200","338140"," откроется карусель изображений более крупном формате и ну и все как бы ты можешь фотки","Speaker 1"
"338140","354680"," листов дальше материалы верификация да да да можно ставить но тут сразу момент","Speaker 1"
"357880","365780"," момент момент вот это капитализм это мы убираем давай за место вот этого вот в карточке подрядчика","Speaker 1"
"365780","372280"," за место капитализм от повар 5 миллион долларов меняем на выручку компании составляет","Speaker 1"
"372280","375980"," столько то за 2020 но за прошлый год берем из","Speaker 1"
"383270","391400"," похожие подрядчики да можно оставить нужен короткий список проект наши эксперты","Speaker 1"
"393520","401700"," контракт ну ладно только и отправить проект на подбор да хорошо супер самих блоков здесь можно","Speaker 1"
"401700","414740"," еще добавить больше зависит от той информации которую мы можем получить не только то есть тут","Speaker 1"
"414740","420660"," есть принципе типовые блоки такой светленький темненький с изображением светленький темненький","Speaker 1"
"420660","429500"," темненький сплашками их достаточно потом вот из них можно будет формировать дальше сетку","Speaker 1"
"437440","458580"," дальше сетку и добавим то что мы сможем получить какие данные потому что мы же еще будем","Speaker 1"
"458580","464540"," парсить типа участие в каких-то рейтингах премиях а может быть кед соцсети яндекс карты","Speaker 1"
"464540","472780"," что-то мы еще там найдем интересные и добавим сюда вот все эти какие контакты","Speaker 1"
"475710","485790"," вообще все в институте нет нет нет информации просто у и ты нет аки и у него очень жестко","Speaker 1"
"485790","500820"," к этому относятся ну типа сейчас да ну ну и вся мета смысле просто если парсит","Speaker 1"
"500820","510980"," надо именно институту надо покупать дополнительное я не могу покупать пока что","Speaker 1"
"510980","517159"," что можно простыми самыми силами сделать вот но сюда еще точно стоит добавить студии","Speaker 1"
